RENDICION DE BSP																								
JAZZ																								
																								
POR FECHA EMISION DESDE:	 1/01/2025	HASTA:	 1/04/2025																					
																								
COMPAÑIA	AA																							
FILE	Nº TICKET	FECHA	TARIFA	OFFLINE	CASH	TARJETA	IMPUESTOS	Resols.	(IVA)	COMISION	SUBTOTAL	NETO	%	OVER	A PAGAR	TOUR CODE	NRO TARJETA	OC						
66729     USD	1403-374543-4	29/1/2025	        980.00		       1210.81		      230.81			        9.80	       1201.01		  5.00	       49.00	       1152.01									
66729     USD	1403-374544-5	29/1/2025	        950.00		       1172.31		      222.31			        9.50	       1162.81		  5.00	       47.50	       1115.31									
66729     USD	1403-374545-6	29/1/2025	        980.00		       1198.81		      218.81			        9.80	       1189.01		  5.00	       49.00	       1140.01									
66729     USD	1403-374546-0	29/1/2025	        980.00		       1198.81		      218.81			        9.80	       1189.01		  5.00	       49.00	       1140.01									
66830     USD	1403-374557-4	31/1/2025	        980.00		       1201.81		      221.81			        9.80	       1192.01		  5.00	       49.00	       1143.01									
66956     USD	1403-374561-1	4/2/2025	        911.00		       1128.01		      217.01			        9.11	       1118.90		  5.00	       45.55	       1073.35									
66956     USD	1403-374562-2	4/2/2025	        911.00		       1125.01		      214.01			        9.11	       1115.90		  5.00	       45.55	       1070.35									
66940     USD	1403-374563-3	4/2/2025	        980.00		       1201.81		      221.81			        9.80	       1192.01		  2.97	       29.11	       1162.90									
66940     USD	1403-374564-4	4/2/2025	        980.00		       1201.81		      221.81			        9.80	       1192.01		  2.97	       29.11	       1162.90									
66940     USD	1403-374565-5	4/2/2025	        980.00		       1201.81		      221.81			        9.80	       1192.01		  2.97	       29.11	       1162.90									
66940     USD	1403-374566-6	4/2/2025	        980.00		       1201.81		      221.81			        9.80	       1192.01		  2.97	       29.11	       1162.90									
66940     USD	1403-374567-0	4/2/2025	        980.00		       1201.81		      221.81			        9.80	       1192.01		  2.97	       29.11	       1162.90									
66940     USD	1403-374568-1	4/2/2025	        980.00		       1201.81		      221.81			        9.80	       1192.01		  2.97	       29.11	       1162.90									
65758     USD	1403-428631-3	6/1/2025	        919.00		       1139.11		      220.11				       1139.11				       1139.11									
